,Birmingham AL,Anchorage AK,Phoenix AZ,Little Rock AR,Los Angeles CA,Denver CO,Bridgeport CT,Wilmington DW,Washington D.C.,Jacksonville FL,Atlanta GA,Honolulu HI,Boise ID,Chicago IL,Indianapolis IN,Des Moines IA,Wichita KS,Louisville KY,New Orleans LA,Portland ME,Baltimore MD,Boston MA,Detroit MI,Minneapolis MN,Jackson MS,Kansas City MO,Billings MT,Omaha NE,Las Vegas NV,Manchester NH,Newark NJ,Albuquerque NM,New York City NY,Charlotte NC,Fargo ND,Columbus OH,Oklahoma City OK,Portland OR,Philadelphia PA,Providence RI,Charleston SC,Sioux Falls SD,Nashville TN,Houston TX,Salt Lake City UT,Burlington VT,Virginia Beach VA,Seattle WA,Charleston WV,Milwaukee WI,Cheyenne WY
Birmingham AL,0,-1,-1,382,-1,-1,-1,850,742,491,147,-1,-1,661,479,849,822,366,344,-1,780,-1,724,-1,237,696,-1,880,-1,-1,951,-1,962,392,-1,569,711,-1,881,-1,452,-1,192,666,-1,-1,728,-1,565,758,-1
Anchorage AK,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Phoenix AZ,-1,-1,0,-1,373,821,-1,-1,-1,-1,-1,-1,925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301,-1,-1,419,-1,-1,-1,-1,959,-1,-1,-1,-1,-1,-1,-1,663,-1,-1,-1,-1,-1,918
Little Rock AR,374,-1,-1,0,-1,966,-1,-1,-1,865,521,-1,-1,653,584,616,450,521,427,-1,-1,-1,870,860,262,426,-1,610,-1,-1,-1,881,-1,757,-1,724,339,-1,-1,-1,825,788,349,434,-1,-1,-1,-1,735,722,-1
Los Angeles CA,-1,-1,373,-1,0,-1,-1,-1,-1,-1,-1,-1,842,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,-1,-1,787,-1,-1,-1,-1,-1,962,-1,-1,-1,-1,-1,-1,689,-1,-1,-1,-1,-1,-1
Denver CO,-1,-1,864,969,-1,0,-1,-1,-1,-1,-1,-1,817,-1,-1,671,520,-1,-1,-1,-1,-1,-1,914,-1,605,555,541,749,-1,-1,449,-1,-1,864,-1,679,-1,-1,-1,-1,625,-1,-1,521,-1,-1,-1,-1,-1,102
Bridgeport CT,-1,-1,-1,-1,-1,-1,0,186,286,997,931,-1,-1,849,792,-1,-1,826,-1,252,248,154,673,-1,-1,-1,-1,-1,-1,191,72.3,-1,61.9,692,-1,619,-1,-1,154,120,823,-1,953,-1,-1,289,423,-1,599,939,-1
Wilmington DW,850,-1,-1,-1,-1,-1,187,0,108,819,753,-1,-1,752,636,-1,-1,680,-1,437,69.5,339,577,-1,-1,-1,-1,-1,-1,376,117,-1,126,513,-1,461,-1,-1,32.2,306,645,-1,773,-1,-1,412,245,-1,435,842,-1
Washington D.C.,743,-1,-1,-1,-1,-1,286,108,0,706,639,-1,-1,696,573,-1,-1,604,-1,536,38.5,438,521,-1,979,-1,-1,-1,-1,475,216,-1,225,400,-1,398,-1,-1,139,405,532,-1,666,-1,-1,511,209,-1,359,786,-1
Jacksonville FL,492,-1,-1,873,-1,-1,993,815,706,0,346,-1,-1,-1,880,-1,-1,767,548,-1,752,-1,-1,-1,593,-1,-1,-1,-1,-1,924,-1,932,383,-1,807,-1,-1,846,-1,238,-1,595,871,-1,-1,630,-1,646,-1,-1
Atlanta GA,147,-1,-1,528,-1,-1,926,747,638,346,0,-1,-1,716,534,904,968,421,470,-1,684,-1,722,-1,381,801,-1,985,-1,-1,856,-1,864,245,-1,568,857,-1,779,-1,305,-1,250,793,-1,-1,581,-1,502,814,-1
Honolulu HI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Boise ID,-1,-1,925,-1,843,814,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,613,-1,624,-1,-1,935,-1,-1,-1,-1,-1,430,-1,-1,-1,-1,-1,-1,339,-1,-1,504,-1,-1,735
Chicago IL,661,-1,-1,643,-1,-1,850,752,696,-1,716,-1,-1,0,183,333,707,298,928,-1,703,984,283,409,742,510,-1,467,-1,-1,781,-1,790,755,643,356,794,-1,759,969,911,574,471,-1,-1,900,900,-1,491,92.1,960
Indianapolis IN,478,-1,-1,574,-1,-1,795,649,571,878,533,-1,-1,182,0,478,675,115,820,-1,578,950,286,593,673,482,-1,611,-1,987,699,-1,710,574,826,175,740,-1,643,914,728,742,288,-1,-1,866,731,-1,310,279,-1
Des Moines IA,847,-1,-1,620,-1,670,-1,-1,-1,-1,902,-1,-1,334,477,0,390,588,-1,-1,-1,-1,599,244,827,193,939,134,-1,-1,-1,984,-1,-1,478,648,545,-1,-1,-1,-1,282,657,933,-1,-1,-1,-1,782,375,628
Wichita KS,814,-1,-1,451,-1,519,-1,-1,-1,-1,960,-1,-1,705,675,388,0,699,866,-1,-1,-1,958,631,708,195,-1,301,-1,-1,-1,595,-1,-1,722,851,161,-1,-1,-1,-1,483,676,602,-1,-1,-1,-1,944,763,610
Louisville KY,365,-1,-1,521,-1,-1,830,680,583,765,420,-1,-1,295,113,588,699,0,707,-1,610,984,364,706,587,506,-1,690,-1,-1,730,-1,741,474,940,209,758,-1,674,949,616,853,175,951,-1,900,668,-1,246,393,-1
New Orleans LA,343,-1,-1,428,-1,-1,-1,-1,-1,546,469,-1,-1,928,819,-1,870,706,0,-1,-1,-1,-1,-1,186,850,-1,-1,-1,-1,-1,-1,-1,713,-1,909,712,-1,-1,-1,768,-1,532,348,-1,-1,-1,-1,907,-1,-1
